Product Name,Product Category,Number of Items Sold,Weekly Sales,Holiday,Temperature,Fuel Price,Day,Month,Year
LG G Pad 5,Tablet,7,131257,TRUE,37,110,14,9,2022
JBL Free X,Earphones,35,1369375,FALSE,24,93,14,9,2022
Samsung Xpress M2020W,Printer,32,2362624,FALSE,26,104,14,9,2022
LG CineBeam HU80KA,Projector,39,3302637,TRUE,33,96,14,9,2022
Lenovo Tab P11 Pro,Tablet,1,49425,FALSE,35,109,14,9,2022
AirPods Pro,Earphones,24,561192,FALSE,35,101,14,9,2022
Ultimate Ears Megaboom 3,Bluetooth Speaker,6,457014,TRUE,32,90,14,9,2022
Sony A80J OLED,TV,35,3003525,TRUE,31,101,14,9,2022
Asus ZenPad 3S 10,Tablet,18,1214568,TRUE,24,110,14,9,2022
AirPods Pro,Earphones,24,561192,TRUE,26,99,14,9,2022
Boat Airdopes 131,Earphones,29,1472678,TRUE,21,96,14,9,2022
Asus ROG Zephyrus G14,Laptop,23,1998723,TRUE,26,101,14,9,2022
Lenovo Tab P11 Pro,Tablet,1,49425,TRUE,28,104,14,9,2022
Samsung QN90A Neo QLED,TV,31,2803826,TRUE,24,101,14,9,2022
Xerox Phaser 6510/DNI,Printer,44,958672,TRUE,25,110,15,9,2022
Xiaomi Mi Smart Band 6,Fitness Tracker,9,810639,FALSE,29,110,15,9,2022
Bose QuietComfort 35 II,Headphones,30,2812410,TRUE,36,103,15,9,2022
Gigabyte Aorus 15G,Gaming Laptop,13,745641,TRUE,31,101,15,9,2022
Samsung Galaxy Buds Pro,Wireless Earbuds,11,938179,TRUE,34,101,15,9,2022
Anker Nebula Capsule II,Projector,19,1796716,TRUE,26,100,15,9,2022
LG C1 OLED,TV,11,310222,TRUE,26,99,15,9,2022
Fitbit Sense,Smartwatch,49,1548841,TRUE,29,96,15,9,2022
Pentax K-1 Mark II,Camera,34,672894,TRUE,29,101,15,9,2022
Huawei Band 6,Fitness Tracker,32,781120,TRUE,37,96,15,9,2022
Roomba i7+,Home Appliance,31,1248277,TRUE,36,102,15,9,2022
Acer R240HY,Monitor,49,3764376,TRUE,22,101,15,9,2022
LG C1 OLED,TV,11,310222,FALSE,32,107,15,9,2022
Apple HomePod mini,Smart Home Device,50,4256300,TRUE,33,90,15,9,2022
Huawei Band 6,Fitness Tracker,32,781120,TRUE,36,93,15,9,2022
Asus ROG Zephyrus G14,Laptop,23,1998723,FALSE,25,96,15,9,2022
BenQ PD2700U,Monitor,35,2416820,TRUE,29,107,15,9,2022
Boat Airdopes 131,Earphones,29,1472678,TRUE,22,106,15,9,2022
Audio-Technica ATH-M50x,Headphones,9,781515,TRUE,31,103,15,9,2022
PlayStation 5,Gaming Console,2,191290,TRUE,22,96,15,9,2022
JBL Flip 5,Bluetooth Speaker,44,2297284,TRUE,29,87,15,9,2022
Samsung Galaxy Tab S7+,Tablet,8,412648,FALSE,33,104,16,9,2022
Nest Learning Thermostat,Smart Home Device,29,1831611,FALSE,32,95,16,9,2022
Acer Predator Helios 300,Gaming Laptop,17,796620,FALSE,32,110,16,9,2022
Google Pixel Buds A-Series,Wireless Earbuds,39,3224052,FALSE,28,107,16,9,2022
Maxoak Bluetti AC200P Power Station,Portable Charger,28,1922844,FALSE,30,101,16,9,2022
Bose QuietComfort Earbuds,Earphones,31,1963819,TRUE,33,99,16,9,2022
Bose SoundLink Revolve+,Bluetooth Speaker,23,514165,TRUE,37,95,16,9,2022
Sony A80J OLED,TV,35,3003525,TRUE,31,100,16,9,2022
Sennheiser Momentum True Wireless 2,Earphones,18,1037124,TRUE,31,111,16,9,2022
Ring Video Doorbell Pro,Home Appliance,34,1872040,TRUE,39,95,16,9,2022
HP OfficeJet Pro 9015,Printer,8,791584,TRUE,32,90,16,9,2022
Xerox Phaser 6510/DNI,Printer,44,958672,TRUE,27,112,16,9,2022
Ring Video Doorbell 3,Smart Home Device,41,1879153,TRUE,24,89,16,9,2022
KitchenAid Artisan Stand Mixer,Home Appliance,22,1269686,TRUE,23,103,16,9,2022
Ecobee SmartThermostat,Smart Home Device,4,57888,TRUE,28,98,16,9,2022
Microsoft Surface Pro 7,Tablet,41,532385,FALSE,31,93,16,9,2022
Asus ROG Zephyrus G14,Gaming Laptop,23,1923145,TRUE,26,104,16,9,2022
BenQ HT3550,Projector,13,814008,FALSE,25,107,16,9,2022
Vizio P-Series Quantum,TV,44,3508868,TRUE,29,107,16,9,2022
Microsoft Surface Pro 7,Tablet,41,532385,FALSE,23,101,16,9,2022
Maxoak Bluetti AC200P Power Station,Portable Charger,28,1922844,FALSE,33,103,16,9,2022
LG Velvet 2 Pro,Smartphone,22,1998788,TRUE,32,105,16,9,2022
Xiaomi Mi Pad 5,Tablet,32,3066816,FALSE,34,107,17,9,2022
Dell G5 15 SE,Gaming Laptop,6,521226,TRUE,29,104,17,9,2022
Amazon Echo Studio,Bluetooth Speaker,20,1393680,TRUE,25,93,17,9,2022
Google Nest Hub (2nd generation),Smart Home Device,8,116816,TRUE,30,102,17,9,2022
Dell Ultrasharp U2415,Monitor,40,2575640,TRUE,32,100,17,9,2022
Polar Ignite 2,Fitness Tracker,10,292960,FALSE,27,99,17,9,2022
Anker Soundcore Liberty Air 2 Pro,Wireless Earbuds,18,468126,FALSE,34,113,17,9,2022
Razer Blade 15,Laptop,31,2852899,TRUE,26,108,17,9,2022
Xerox Phaser 6510/DNI,Printer,44,958672,TRUE,35,111,17,9,2022
Nintendo Switch OLED,Gaming Console,19,1671981,TRUE,25,107,17,9,2022
LG C1 OLED,TV,11,310222,FALSE,33,104,17,9,2022
LG Smart Washing Machine,Home Appliance,35,2509185,FALSE,24,101,17,9,2022
Beyerdynamic DT 990 Pro,Headphones,37,479927,TRUE,26,96,17,9,2022
Fitbit Sense,Smartwatch,49,1548841,TRUE,34,99,17,9,2022
Maxoak Bluetti AC200P Power Station,Portable Charger,28,1922844,FALSE,36,103,17,9,2022
iPhone 13 Pro,Smartphone,24,998592,TRUE,31,100,17,9,2022
Sony SRS-XB43,Bluetooth Speaker,9,760050,TRUE,27,109,17,9,2022
Samsung Galaxy Tab S7+,Tablet,8,412648,FALSE,34,100,17,9,2022
Apple Watch Series 7,Smartwatch,16,180688,TRUE,28,92,17,9,2022
LG 27UK850-W,Monitor,43,1841991,TRUE,36,102,17,9,2022
Xbox Series X,Gaming Console,20,858360,TRUE,31,95,17,9,2022
Anker Soundcore Liberty Air 2 Pro,Earphones,12,614112,TRUE,29,90,17,9,2022
LG 34GN850-B,Monitor,19,1150469,FALSE,31,107,17,9,2022
Fossil Gen 5,Smartwatch,43,2187625,FALSE,30,104,18,9,2022
Optoma UHD50X,Projector,18,656514,TRUE,30,111,18,9,2022
Garmin Venu Sq,Fitness Tracker,19,536864,TRUE,28,105,18,9,2022
Ring Video Doorbell 3,Smart Home Device,41,1879153,TRUE,24,96,18,9,2022
Garmin Forerunner 945,Fitness Tracker,42,3396960,TRUE,30,103,18,9,2022
Epson WorkForce Pro WF-4740,Printer,49,1837892,TRUE,31,104,18,9,2022
Samsung Galaxy S22 Ultra,Smartphone,26,550550,FALSE,33,110,18,9,2022
Anker PowerCore 10000,Portable Charger,14,783972,TRUE,32,103,18,9,2022
Epson EcoTank ET-4760,Printer,48,3624048,TRUE,38,113,18,9,2022
LG Gram,Laptop,36,1883988,FALSE,26,100,18,9,2022
Samsung Galaxy Buds Pro,Wireless Earbuds,11,938179,TRUE,27,105,18,9,2022
Marshall Kilburn II,Bluetooth Speaker,25,1978425,TRUE,30,102,18,9,2022
Marshall Kilburn II,Bluetooth Speaker,25,1978425,TRUE,28,106,18,9,2022
Samsung Galaxy Watch 4,Smartwatch,23,2101947,TRUE,32,100,18,9,2022
Philips Sonicare DiamondClean,Home Appliance,36,2394288,TRUE,21,88,18,9,2022
Zendure A8PD Power Bank 26800mAh,Portable Charger,2,185566,FALSE,26,96,18,9,2022
Xbox Series S,Gaming Console,27,664713,TRUE,29,112,18,9,2022
Sony A80J OLED,TV,35,3003525,TRUE,26,98,18,9,2022
Ring Video Doorbell Pro,Home Appliance,34,1872040,FALSE,32,98,18,9,2022
LG Velvet 2 Pro,Smartphone,22,1998788,TRUE,33,108,18,9,2022
LG Smart Washing Machine,Home Appliance,35,2509185,FALSE,28,97,18,9,2022
Boat Airdopes 131,Earphones,29,1472678,TRUE,26,100,18,9,2022
Huawei MatePad Pro,Tablet,25,1183150,TRUE,33,98,18,9,2022
Alienware Area-51m,Laptop,24,1899312,TRUE,36,103,18,9,2022
Samsung Galaxy Buds Pro,Wireless Earbuds,11,938179,TRUE,26,96,18,9,2022
VANKYO Performance V630,Projector,6,410802,TRUE,29,93,19,9,2022
ViewSonic VX2457-MHD,Monitor,28,1716036,TRUE,26,92,19,9,2022
Gigabyte Aorus 15G,Gaming Laptop,13,745641,TRUE,35,103,19,9,2022
Xiaomi Mi Pad 5,Tablet,32,3066816,TRUE,38,104,19,9,2022
Fossil Gen 5E,Fitness Tracker,37,2937985,TRUE,24,106,19,9,2022
LG 27UK850-W,Monitor,43,1841991,TRUE,36,109,19,9,2022
Huawei Band 6,Fitness Tracker,32,781120,TRUE,34,95,19,9,2022
Samsung Family Hub Refrigerator,Home Appliance,5,268670,TRUE,27,100,19,9,2022
Anker Nebula Capsule II,Projector,19,1796716,TRUE,22,93,19,9,2022
Sony A80J OLED,TV,35,3003525,TRUE,27,97,19,9,2022
Samsung Galaxy Tab S7+,Tablet,8,412648,TRUE,32,102,19,9,2022
Anker Soundcore Liberty Air 2 Pro,Wireless Earbuds,18,468126,TRUE,29,110,19,9,2022
Nikon D850,Camera,38,567682,FALSE,20,100,19,9,2022
Bose QuietComfort Earbuds,Earphones,31,1963819,TRUE,28,100,19,9,2022
Nintendo Switch,Gaming Console,1,36385,TRUE,31,94,19,9,2022
Pentax K-1 Mark II,Camera,34,672894,TRUE,34,101,19,9,2022
Fujifilm X-T4,Camera,33,1423125,TRUE,23,100,19,9,2022
Dell Color Laser Printer C1760NW,Printer,40,3530440,FALSE,27,105,19,9,2022
Alienware m15 R4,Gaming Laptop,6,506652,TRUE,28,105,19,9,2022
ASUS TUF Gaming A15,Gaming Laptop,29,1866904,TRUE,23,103,20,9,2022
Lenovo Tab P11 Pro,Tablet,1,49425,TRUE,35,101,20,9,2022
MSI GE66 Raider,Gaming Laptop,26,677144,TRUE,30,94,20,9,2022
LG C1 OLED,TV,11,310222,TRUE,34,102,20,9,2022
Samsung Galaxy Buds Pro,Wireless Earbuds,11,938179,TRUE,33,102,20,9,2022
Nikon Z6 II,Camera,49,2957591,FALSE,35,102,20,9,2022
Acer Predator Helios 300,Gaming Laptop,17,796620,TRUE,30,113,20,9,2022
JBL Flip 5,Bluetooth Speaker,44,2297284,FALSE,26,92,20,9,2022
Beyerdynamic DT 990 Pro,Headphones,37,479927,TRUE,24,104,20,9,2022
Xbox One,Gaming Console,11,130317,TRUE,37,98,20,9,2022
Goal Zero Yeti 500X Portable Power Station,Portable Charger,4,78384,TRUE,28,100,20,9,2022
Samsung Galaxy Buds Pro,Earphones,45,956430,TRUE,27,113,20,9,2022
JBL Quantum 800,Headphones,28,1653932,TRUE,29,104,20,9,2022
Samsung Family Hub Refrigerator,Home Appliance,5,268670,TRUE,31,103,20,9,2022
ViewSonic PX747-4K,Projector,2,117914,TRUE,26,110,20,9,2022
Apple AirPods Pro,Wireless Earbuds,31,1153138,TRUE,37,105,20,9,2022
Goal Zero Yeti 500X Portable Power Station,Portable Charger,4,78384,TRUE,23,100,20,9,2022
Sony Alpha A7 III,Camera,31,1580318,TRUE,35,89,20,9,2022
Roomba i7+,Home Appliance,31,1248277,FALSE,38,110,20,9,2022
Bose QuietComfort Earbuds,Wireless Earbuds,20,382540,TRUE,28,103,20,9,2022
Dell G5 15 SE,Gaming Laptop,6,521226,FALSE,34,105,20,9,2022
Olympus OM-D E-M1 Mark III,Camera,42,4134648,TRUE,29,105,20,9,2022
UE Wonderboom 2,Bluetooth Speaker,26,1990352,TRUE,36,103,20,9,2022
Sony Alpha A7 III,Camera,31,1580318,TRUE,27,87,20,9,2022
TP-Link Kasa Smart Plug,Smart Home Device,36,1867248,FALSE,30,101,20,9,2022
Shure SRH440,Headphones,23,775974,TRUE,27,96,20,9,2022
Anker Soundcore Motion+,Bluetooth Speaker,34,3285964,TRUE,30,106,20,9,2022
Nespresso VertuoPlus,Home Appliance,47,3562459,TRUE,27,93,20,9,2022
Bose SoundLink Revolve+,Bluetooth Speaker,23,514165,TRUE,30,97,20,9,2022
Samsung QN90A Neo QLED,TV,31,2803826,TRUE,30,102,20,9,2022
Samsung Xpress M2020W,Printer,32,2362624,TRUE,23,105,20,9,2022
Sony Alpha A7 III,Camera,31,1580318,TRUE,36,94,20,9,2022
ASUS TUF Gaming A15,Gaming Laptop,29,1866904,TRUE,29,108,20,9,2022
Philips SHP9500,Headphones,25,2490725,FALSE,28,95,20,9,2022
Bose QuietComfort Earbuds,Earphones,31,1963819,TRUE,24,101,20,9,2022
Motorola Edge+,Smartphone,33,934890,TRUE,25,114,20,9,2022
VANKYO Performance V630,Projector,6,410802,TRUE,34,97,20,9,2022
Lenovo Legion 5i,Gaming Laptop,48,3099936,TRUE,28,106,20,9,2022
Huawei MatePad Pro,Tablet,25,1183150,TRUE,26,99,20,9,2022
Polar Ignite 2,Fitness Tracker,10,292960,FALSE,25,92,20,9,2022
Dell Ultrasharp U2415,Monitor,40,2575640,TRUE,36,102,21,9,2022
Google Pixel Slate,Tablet,37,1727937,TRUE,21,88,21,9,2022
Xiaomi Mi 12,Smartphone,7,161098,TRUE,37,101,21,9,2022
Sony WF-1000XM4,Wireless Earbuds,38,3778340,TRUE,30,108,21,9,2022
LG 34GN850-B,Monitor,19,1150469,FALSE,39,111,21,9,2022
Ring Video Doorbell Pro,Home Appliance,34,1872040,TRUE,30,97,21,9,2022
Apple AirPods Pro,Wireless Earbuds,31,1153138,TRUE,33,103,21,9,2022
Huawei Watch GT 2 Pro,Smartwatch,14,560630,TRUE,30,99,21,9,2022
Asus ROG Zephyrus G14,Gaming Laptop,23,1923145,TRUE,30,95,21,9,2022
PlayStation 5,Gaming Console,2,191290,TRUE,29,86,21,9,2022
PlayStation 4 Slim,Gaming Console,5,360460,FALSE,35,104,21,9,2022
Dyson V11,Home Appliance,31,830025,TRUE,27,104,21,9,2022
HP Spectre x360,Laptop,16,476272,TRUE,35,102,21,9,2022
Epson EcoTank ET-4760,Printer,48,3624048,TRUE,32,115,21,9,2022
Xiaomi Mi Power Bank 3,Portable Charger,34,792030,TRUE,38,108,21,9,2022
Anker Soundcore Motion+,Bluetooth Speaker,34,3285964,TRUE,24,108,21,9,2022
HP Omen 15,Gaming Laptop,50,4042100,TRUE,33,100,21,9,2022
Anker Soundcore Liberty Air 2 Pro,Earphones,12,614112,TRUE,31,93,21,9,2022
Google Nest Hub (2nd generation),Smart Home Device,8,116816,TRUE,23,100,21,9,2022
Xbox Series X,Gaming Console,20,858360,TRUE,36,100,21,9,2022
Apple Watch Series 7,Smartwatch,16,180688,TRUE,21,90,22,9,2022
Microsoft Surface Laptop 4,Laptop,12,264960,FALSE,33,89,22,9,2022
Acer Swift 5,Laptop,32,1574848,FALSE,31,109,22,9,2022
Amazfit GTR 2,Smartwatch,8,215848,TRUE,31,107,22,9,2022
Canon PIXMA TR4520,Printer,39,1400334,FALSE,38,106,22,9,2022
LG Velvet 2 Pro,Smartphone,22,1998788,TRUE,28,103,22,9,2022
Xbox Series X,Gaming Console,20,858360,TRUE,39,98,22,9,2022
Sony A80J OLED,TV,35,3003525,TRUE,34,97,22,9,2022
Google Nest Hub (2nd generation),Smart Home Device,8,116816,TRUE,24,100,22,9,2022
Nest Learning Thermostat,Smart Home Device,29,1831611,FALSE,29,94,22,9,2022
TP-Link Kasa Smart Plug,Smart Home Device,36,1867248,TRUE,27,101,22,9,2022
Garmin Fenix 6 Pro,Smartwatch,19,1295515,TRUE,27,89,22,9,2022
PlayStation 5,Gaming Console,2,191290,TRUE,22,89,22,9,2022
Sony WF-1000XM4,Wireless Earbuds,38,3778340,TRUE,36,103,22,9,2022
Dell G5 15 SE,Gaming Laptop,6,521226,TRUE,36,104,22,9,2022
TCL 6-Series,TV,9,144981,TRUE,29,113,22,9,2022
Optoma UHD50X,Projector,18,656514,TRUE,38,111,22,9,2022
Brother HL-L2390DW,Printer,48,4658496,TRUE,30,100,22,9,2022
Ricoh SP C261DNw,Printer,25,2041750,TRUE,30,95,22,9,2022
Sony Xperia 1 III,Smartphone,36,2409876,TRUE,35,91,22,9,2022
Oppo Find X3 Pro,Smartphone,42,3204180,FALSE,28,98,22,9,2022
Epson EcoTank ET-4760,Printer,48,3624048,TRUE,30,106,22,9,2022
Hisense U8G,TV,41,479741,FALSE,37,103,22,9,2022
Garmin Fenix 6 Pro,Smartwatch,19,1295515,TRUE,21,89,22,9,2022
Fujifilm X-T4,Camera,33,1423125,TRUE,25,102,23,9,2022
LG G Pad 5,Tablet,7,131257,TRUE,34,104,23,9,2022
TP-Link Kasa Smart Plug,Smart Home Device,36,1867248,TRUE,28,92,23,9,2022
Dell Color Laser Printer C1760NW,Printer,40,3530440,FALSE,29,102,23,9,2022
BoAt Rockerz 330,Bluetooth Speaker,33,2594229,TRUE,29,97,23,9,2022
Sony SRS-XB43,Bluetooth Speaker,9,760050,TRUE,28,110,23,9,2022
Vizio P-Series Quantum,TV,44,3508868,TRUE,29,107,23,9,2022
XGIMI Halo,Projector,5,133525,TRUE,21,108,23,9,2022
ASUS ROG Swift PG279Q,Monitor,40,3112560,TRUE,30,99,23,9,2022
Bose QuietComfort Earbuds,Earphones,31,1963819,TRUE,33,97,23,9,2022
Marshall Kilburn II,Bluetooth Speaker,25,1978425,TRUE,33,103,23,9,2022
BenQ HT3550,Projector,13,814008,TRUE,24,99,23,9,2022
Sennheiser Momentum True Wireless 2,Wireless Earbuds,15,1016880,FALSE,32,112,23,9,2022
Samsung Galaxy Fit 2,Fitness Tracker,33,1832688,TRUE,27,109,23,9,2022
Ultimate Ears Megaboom 3,Bluetooth Speaker,6,457014,TRUE,27,100,23,9,2022
LG CineBeam HU80KA,Projector,39,3302637,TRUE,40,95,23,9,2022
Epson WorkForce Pro WF-4740,Printer,49,1837892,TRUE,24,99,23,9,2022
Boat Airdopes 131,Earphones,29,1472678,TRUE,22,99,23,9,2022
Skullcandy Indy Fuel,Earphones,48,2680320,TRUE,29,112,23,9,2022
Garmin Venu Sq,Fitness Tracker,19,536864,TRUE,30,104,23,9,2022
Sennheiser HD 660 S,Headphones,11,440000,TRUE,32,99,23,9,2022
Google Pixel Slate,Tablet,37,1727937,TRUE,31,91,23,9,2022
RAVPower Portable Charger 20000mAh,Portable Charger,42,2515044,TRUE,32,90,23,9,2022
Grado SR80e,Headphones,20,1481520,FALSE,34,90,23,9,2022
Huawei P50 Pro,Smartphone,19,938106,TRUE,28,96,24,9,2022
Dell XPS 13,Laptop,11,213059,TRUE,28,91,24,9,2022
LG Smart Washing Machine,Home Appliance,35,2509185,TRUE,32,99,24,9,2022
Samsung Family Hub Refrigerator,Home Appliance,5,268670,TRUE,25,99,24,9,2022
ASUS TUF Gaming A15,Gaming Laptop,29,1866904,TRUE,29,99,24,9,2022
Alienware Area-51m,Laptop,24,1899312,TRUE,34,96,24,9,2022
Nintendo Switch OLED,Gaming Console,19,1671981,TRUE,26,110,24,9,2022
Philips OLED806,TV,37,1814517,TRUE,28,101,24,9,2022
Microsoft Surface Laptop 4,Laptop,12,264960,TRUE,34,95,24,9,2022
Sennheiser HD 660 S,Headphones,11,440000,FALSE,35,92,24,9,2022
BoAt Rockerz 330,Bluetooth Speaker,33,2594229,TRUE,21,100,24,9,2022
JBL Flip 5,Bluetooth Speaker,44,2297284,FALSE,31,88,24,9,2022
Dell G5 15 SE,Gaming Laptop,6,521226,TRUE,33,109,24,9,2022
RAVPower Portable Charger 20000mAh,Portable Charger,42,2515044,TRUE,31,88,24,9,2022
Samsung 10000mAh Portable Battery Pack,Portable Charger,32,719584,TRUE,32,105,24,9,2022
Huawei MatePad Pro,Tablet,25,1183150,TRUE,33,105,24,9,2022
Ultimate Ears Megaboom 3,Bluetooth Speaker,6,457014,TRUE,28,90,24,9,2022
Nespresso VertuoPlus,Home Appliance,47,3562459,TRUE,30,100,24,9,2022
Marshall Kilburn II,Bluetooth Speaker,25,1978425,TRUE,30,100,24,9,2022
Dell Ultrasharp U2415,Monitor,40,2575640,TRUE,37,105,24,9,2022
Sony SRS-XB43,Bluetooth Speaker,9,760050,TRUE,34,106,24,9,2022
LG Gram,Laptop,36,1883988,TRUE,32,97,24,9,2022
Shure SRH440,Headphones,23,775974,TRUE,28,100,24,9,2022
Ring Video Doorbell Pro,Home Appliance,34,1872040,TRUE,31,99,24,9,2022
UE Wonderboom 2,Bluetooth Speaker,26,1990352,TRUE,34,111,24,9,2022
Fujifilm X-T4,Camera,33,1423125,TRUE,24,105,24,9,2022
Xiaomi Mi Pad 5,Tablet,32,3066816,TRUE,34,112,24,9,2022
Ricoh SP C261DNw,Printer,25,2041750,TRUE,31,97,24,9,2022
Samsung 10000mAh Portable Battery Pack,Portable Charger,32,719584,TRUE,34,106,25,9,2022
Huawei Watch GT 2 Pro,Smartwatch,14,560630,TRUE,32,104,25,9,2022
Xiaomi Mi Pad 5,Tablet,32,3066816,FALSE,38,109,25,9,2022
Apple HomePod mini,Smart Home Device,50,4256300,TRUE,39,94,25,9,2022
HP VH240a,Monitor,18,1094850,TRUE,37,94,25,9,2022
Polar Ignite 2,Fitness Tracker,10,292960,FALSE,28,101,25,9,2022
Jabra Elite 75t,Earphones,29,2160906,FALSE,31,93,25,9,2022
Epson WorkForce Pro WF-4740,Printer,49,1837892,TRUE,23,102,25,9,2022
Alienware m15 R4,Gaming Laptop,6,506652,TRUE,33,97,25,9,2022
Anker Soundcore Liberty Air 2 Pro,Earphones,12,614112,TRUE,30,98,25,9,2022
Anker Soundcore Liberty Air 2 Pro,Earphones,12,614112,TRUE,23,94,25,9,2022
TicWatch Pro 3,Smartwatch,37,2262217,TRUE,36,109,25,9,2022
Xiaomi Mi Pad 5,Tablet,32,3066816,FALSE,32,111,25,9,2022
Microsoft Surface Laptop 4,Laptop,12,264960,FALSE,36,97,25,9,2022
Acer R240HY,Monitor,49,3764376,FALSE,27,108,25,9,2022
Goal Zero Yeti 500X Portable Power Station,Portable Charger,4,78384,TRUE,30,104,25,9,2022
Sony WH-1000XM5,Earphones,21,685776,FALSE,26,107,25,9,2022
Anker Soundcore Motion+,Bluetooth Speaker,34,3285964,TRUE,24,115,25,9,2022
Mobvoi TicWatch E3,Smartwatch,6,341400,FALSE,27,96,25,9,2022
Microsoft Surface Laptop 4,Laptop,12,264960,TRUE,36,97,25,9,2022
iPhone 13 Pro,Smartphone,24,998592,TRUE,33,91,25,9,2022
Energizer PowerKeep Pro Portable Power Station,Portable Charger,15,355995,TRUE,34,107,25,9,2022
Epson Home Cinema 5050UB,Projector,20,654440,FALSE,29,109,25,9,2022
Samsung Galaxy S22 Ultra,Smartphone,26,550550,FALSE,38,107,25,9,2022
Google Nest Hub (2nd generation),Smart Home Device,8,116816,TRUE,31,107,25,9,2022
Samsung 10000mAh Portable Battery Pack,Portable Charger,32,719584,TRUE,26,106,25,9,2022
Shure SRH440,Headphones,23,775974,TRUE,28,94,25,9,2022
Google Pixel 6,Smartphone,2,169328,FALSE,30,88,25,9,2022
OnePlus 9 Pro,Smartphone,28,1586032,TRUE,32,89,26,9,2022
Pentax K-1 Mark II,Camera,34,672894,TRUE,27,106,26,9,2022
HP VH240a,Monitor,18,1094850,TRUE,31,94,26,9,2022
PlayStation 5,Gaming Console,2,191290,TRUE,20,93,26,9,2022
Samsung Family Hub Refrigerator,Home Appliance,5,268670,TRUE,26,108,26,9,2022
AirPods Pro,Earphones,24,561192,TRUE,27,105,26,9,2022
Sony WH-1000XM4,Headphones,33,1970133,FALSE,31,96,26,9,2022
Alienware Area-51m,Laptop,24,1899312,TRUE,37,93,26,9,2022
LG CineBeam HU80KA,Projector,39,3302637,TRUE,39,93,26,9,2022
Sony WH-1000XM4,Headphones,33,1970133,TRUE,31,90,26,9,2022
PlayStation 5,Gaming Console,2,191290,TRUE,20,94,26,9,2022
Sennheiser HD 660 S,Headphones,11,440000,FALSE,36,101,26,9,2022
Jabra Elite 85t,Wireless Earbuds,2,146654,TRUE,26,101,26,9,2022
RAVPower Portable Charger 20000mAh,Portable Charger,42,2515044,FALSE,25,91,26,9,2022
MSI Optix MAG271CQR,Monitor,34,1856876,TRUE,22,102,26,9,2022
Dell XPS 13,Laptop,11,213059,TRUE,30,97,26,9,2022
Nebula Cosmos Max,Projector,21,1040676,TRUE,24,104,26,9,2022
BenQ HT3550,Projector,13,814008,FALSE,29,106,26,9,2022
AirPods Pro,Earphones,24,561192,TRUE,34,107,26,9,2022
ASUS TUF Gaming A15,Gaming Laptop,29,1866904,TRUE,26,103,26,9,2022
Fitbit Sense,Smartwatch,49,1548841,TRUE,35,95,26,9,2022
Samsung Galaxy Tab S7+,Tablet,8,412648,TRUE,28,98,26,9,2022
Philips Sonicare DiamondClean,Home Appliance,36,2394288,FALSE,22,93,26,9,2022
Dyson V11,Home Appliance,31,830025,TRUE,29,98,26,9,2022
Grado SR80e,Headphones,20,1481520,FALSE,26,97,26,9,2022
HP Omen 15,Gaming Laptop,50,4042100,FALSE,38,97,26,9,2022
Apple Watch Series 7,Smartwatch,16,180688,TRUE,25,89,26,9,2022
Huawei Band 6,Fitness Tracker,32,781120,TRUE,30,93,26,9,2022
LG Nano90,TV,32,1877472,TRUE,29,99,26,9,2022
Asus ZenPad 3S 10,Tablet,18,1214568,TRUE,25,103,26,9,2022
Xiaomi Mi 12,Smartphone,7,161098,TRUE,31,98,26,9,2022
LG Nano90,TV,32,1877472,TRUE,21,101,26,9,2022
Fossil Gen 5E,Fitness Tracker,37,2937985,TRUE,26,101,27,9,2022
Lexmark MC3326adwe,Printer,20,1315120,FALSE,28,101,27,9,2022
AirPods Pro,Earphones,24,561192,FALSE,36,107,27,9,2022
Roomba i7+,Home Appliance,31,1248277,FALSE,38,107,27,9,2022
Huawei MatePad Pro,Tablet,25,1183150,TRUE,30,105,27,9,2022
Panasonic JZ2000,TV,45,1939950,TRUE,27,97,27,9,2022
Apple Watch SE,Fitness Tracker,11,777964,TRUE,30,97,27,9,2022
HP Omen 15,Gaming Laptop,50,4042100,FALSE,32,101,27,9,2022
JBL Flip 5,Bluetooth Speaker,44,2297284,TRUE,31,93,27,9,2022
Sony WH-1000XM4,Headphones,33,1970133,TRUE,23,95,27,9,2022
UE Wonderboom 2,Bluetooth Speaker,26,1990352,TRUE,29,105,27,9,2022
LG Gram,Laptop,36,1883988,TRUE,32,95,27,9,2022
Bose QuietComfort 35 II,Headphones,30,2812410,TRUE,33,105,27,9,2022
Epson WorkForce Pro WF-4740,Printer,49,1837892,TRUE,29,99,27,9,2022
PlayStation 4 Pro,Gaming Console,40,2987280,TRUE,33,95,27,9,2022
Amazon Fire HD 10,Tablet,42,577038,TRUE,37,103,27,9,2022
HP Omen 15,Gaming Laptop,50,4042100,FALSE,32,101,27,9,2022
Canon EOS R6,Camera,29,2220617,TRUE,27,108,27,9,2022
Microsoft Surface Pro 7,Tablet,41,532385,FALSE,32,92,27,9,2022
Anker Soundcore Liberty Air 2 Pro,Wireless Earbuds,18,468126,FALSE,31,110,27,9,2022
Vizio P-Series Quantum,TV,44,3508868,TRUE,28,104,27,9,2022
Razer Blade 15,Gaming Laptop,16,1185312,TRUE,21,90,27,9,2022
Xiaomi Mi Smart Band 6,Fitness Tracker,9,810639,FALSE,27,114,27,9,2022
LG 27UK850-W,Monitor,43,1841991,TRUE,30,106,27,9,2022
